time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707591873.729906,1,DefaultSurrogate,0,0,lr=0.0016104060043213957#perm=ABC,0.8497356086386664
1707591911.8975623,1,DefaultSurrogate,0,1,lr=0.0016104060043213957#perm=ABC,0.751417198109667
1707591950.01298,1,DefaultSurrogate,0,2,lr=0.0016104060043213957#perm=ABC,0.6492001743542365
1707591988.0926566,1,DefaultSurrogate,0,3,lr=0.0016104060043213957#perm=ABC,0.5995225874370893
1707592026.2094965,1,DefaultSurrogate,0,4,lr=0.0016104060043213957#perm=ABC,0.6013253679586804
1707592064.3975668,1,DefaultSurrogate,0,5,lr=0.0016104060043213957#perm=ABC,0.567336686206464
1707592102.6291447,1,DefaultSurrogate,0,6,lr=0.0016104060043213957#perm=ABC,0.5440032024716683
1707592140.8501372,1,DefaultSurrogate,0,7,lr=0.0016104060043213957#perm=ABC,0.5719078217496142
1707592178.9961264,1,DefaultSurrogate,0,8,lr=0.0016104060043213957#perm=ABC,0.674585801575388
1707592217.0959058,1,DefaultSurrogate,0,9,lr=0.0016104060043213957#perm=ABC,0.4962070922681069
1707592257.1162999,1,DefaultSurrogate,1,0,lr=0.005095192637789785#perm=BCA,1.2077013636247347
1707592295.4367008,1,DefaultSurrogate,1,1,lr=0.005095192637789785#perm=BCA,0.8268903523014985
1707592333.7934926,1,DefaultSurrogate,1,2,lr=0.005095192637789785#perm=BCA,0.7859100787160144
1707592372.1708014,1,DefaultSurrogate,1,3,lr=0.005095192637789785#perm=BCA,0.7616814773065653
1707592410.5457678,1,DefaultSurrogate,1,4,lr=0.005095192637789785#perm=BCA,0.7364137554866831
1707592448.8801455,1,DefaultSurrogate,1,5,lr=0.005095192637789785#perm=BCA,0.692957284063911
1707592487.1828423,1,DefaultSurrogate,1,6,lr=0.005095192637789785#perm=BCA,0.7301997989272995
1707592525.4328573,1,DefaultSurrogate,1,7,lr=0.005095192637789785#perm=BCA,0.6356724437382106
1707592563.771311,1,DefaultSurrogate,1,8,lr=0.005095192637789785#perm=BCA,0.6748957216012114
1707592602.1979387,1,DefaultSurrogate,1,9,lr=0.005095192637789785#perm=BCA,0.6593201447855039
1707592642.1221774,1,DefaultSurrogate,2,0,lr=0.01#perm=BCA,1.5751528858569392
1707592680.2291584,1,DefaultSurrogate,2,1,lr=0.01#perm=BCA,1.0775959109483602
1707592718.5165112,1,DefaultSurrogate,2,2,lr=0.01#perm=BCA,0.8626966566741902
1707592756.7670696,1,DefaultSurrogate,2,3,lr=0.01#perm=BCA,0.9981034432695185
