time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707582962.0508575,0,DefaultSurrogate,0,0,conv_layers=8#activation=relu#lr=0.007436724172099663,0.7518892558841807
1707582994.166362,0,DefaultSurrogate,0,1,conv_layers=8#activation=relu#lr=0.007436724172099663,0.14863063953244987
1707583026.3306403,0,DefaultSurrogate,0,2,conv_layers=8#activation=relu#lr=0.007436724172099663,0.0983354222577275
1707583058.4327059,0,DefaultSurrogate,0,3,conv_layers=8#activation=relu#lr=0.007436724172099663,0.07029930020267215
1707583090.4533145,0,DefaultSurrogate,0,4,conv_layers=8#activation=relu#lr=0.007436724172099663,0.07590220329561191
1707583122.4459143,0,DefaultSurrogate,0,5,conv_layers=8#activation=relu#lr=0.007436724172099663,0.04999727001658571
1707583154.4955575,0,DefaultSurrogate,0,6,conv_layers=8#activation=relu#lr=0.007436724172099663,0.04801064478687115
1707583186.5179896,0,DefaultSurrogate,0,7,conv_layers=8#activation=relu#lr=0.007436724172099663,0.05282159197185694
1707583218.5217123,0,DefaultSurrogate,0,8,conv_layers=8#activation=relu#lr=0.007436724172099663,0.0452743994451683
1707583250.5081,0,DefaultSurrogate,0,9,conv_layers=8#activation=relu#lr=0.007436724172099663,0.06104994019014375
1707583282.2857141,0,DefaultSurrogate,1,0,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.306282072329521
1707583313.9364264,0,DefaultSurrogate,1,1,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.311410377216339
1707583345.6362116,0,DefaultSurrogate,1,2,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.3057885902404784
1707583377.3816736,0,DefaultSurrogate,1,3,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.3045322661399843
1707583409.134641,0,DefaultSurrogate,1,4,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.3071574681043625
1707583440.9257576,0,DefaultSurrogate,1,5,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.3100772110342978
1707583472.6462736,0,DefaultSurrogate,1,6,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.3022254561185838
1707583504.4363282,0,DefaultSurrogate,1,7,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.3032755388498307
1707583536.2026594,0,DefaultSurrogate,1,8,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.3034346507549284
1707583567.9716334,0,DefaultSurrogate,1,9,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.3105990246534347
1707583614.1327689,0,DefaultSurrogate,2,0,conv_layers=10#activation=sigmoid#lr=0.01,2.307011399793625
1707583647.5314114,0,DefaultSurrogate,2,1,conv_layers=10#activation=sigmoid#lr=0.01,2.307012032842636
1707583680.838184,0,DefaultSurrogate,2,2,conv_layers=10#activation=sigmoid#lr=0.01,2.302285095191002
1707583714.140235,0,DefaultSurrogate,2,3,conv_layers=10#activation=sigmoid#lr=0.01,2.3020510629177093
1707583747.4891636,0,DefaultSurrogate,2,4,conv_layers=10#activation=sigmoid#lr=0.01,2.3018643810033796
1707583780.8898406,0,DefaultSurrogate,2,5,conv_layers=10#activation=sigmoid#lr=0.01,2.301830420303345
1707583814.21257,0,DefaultSurrogate,2,6,conv_layers=10#activation=sigmoid#lr=0.01,2.3012302207708357
1707583847.5783548,0,DefaultSurrogate,2,7,conv_layers=10#activation=sigmoid#lr=0.01,2.3013964581251143
