time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707581277.9530284,1,DynamicSurrogate,0,0,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.7131638661690056
1707581305.19277,1,DynamicSurrogate,0,1,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.35833125933807897
1707581332.3756418,1,DynamicSurrogate,0,2,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.3159825409090676
1707581359.4583192,1,DynamicSurrogate,0,3,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.322783839471434
1707581386.541075,1,DynamicSurrogate,0,4,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.3055348975639284
1707581413.6709032,1,DynamicSurrogate,0,5,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.31749323779502336
1707581440.7093194,1,DynamicSurrogate,0,6,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.2962134028867327
1707581467.73397,1,DynamicSurrogate,0,7,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.27704693556362125
1707581494.8668375,1,DynamicSurrogate,0,8,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.27378231566369465
1707581521.9324985,1,DynamicSurrogate,0,9,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.2583301803524587
1707581599.7059119,1,DynamicSurrogate,1,0,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.22212386313790486
1707581631.6535692,1,DynamicSurrogate,1,1,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.20652016978293342
1707581663.6221623,1,DynamicSurrogate,1,2,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.17733729224248804
1707581695.6340039,1,DynamicSurrogate,1,3,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.14462683231533013
1707581727.572434,1,DynamicSurrogate,1,4,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.12226454751235899
1707581759.6008654,1,DynamicSurrogate,1,5,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.10151459582974327
1707581791.7060704,1,DynamicSurrogate,1,6,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.09659166757608838
1707581823.7427168,1,DynamicSurrogate,1,7,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.08180291241010769
1707581855.7812674,1,DynamicSurrogate,1,8,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.10290671530390857
1707581887.793462,1,DynamicSurrogate,1,9,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.06846405730947996
1707581919.2806847,1,DynamicSurrogate,2,0,conv_layers=8#activation=tanh#lr=0.01,0.2407480927874206
1707581950.6131113,1,DynamicSurrogate,2,1,conv_layers=8#activation=tanh#lr=0.01,0.15054400868041834
1707581981.9400759,1,DynamicSurrogate,2,2,conv_layers=8#activation=tanh#lr=0.01,0.10402498518398788
1707582013.221038,1,DynamicSurrogate,2,3,conv_layers=8#activation=tanh#lr=0.01,0.08563321143653299
1707582044.5069616,1,DynamicSurrogate,2,4,conv_layers=8#activation=tanh#lr=0.01,0.071744858679063
1707582075.794695,1,DynamicSurrogate,2,5,conv_layers=8#activation=tanh#lr=0.01,0.06411475147356759
1707582107.076556,1,DynamicSurrogate,2,6,conv_layers=8#activation=tanh#lr=0.01,0.05905849191591086
1707582138.3799233,1,DynamicSurrogate,2,7,conv_layers=8#activation=tanh#lr=0.01,0.05615635902784485
1707582169.8596935,1,DynamicSurrogate,2,8,conv_layers=8#activation=tanh#lr=0.01,0.0524543620090096
1707582201.125669,1,DynamicSurrogate,2,9,conv_layers=8#activation=tanh#lr=0.01,0.04758326656398443
1707582233.3259969,1,DynamicSurrogate,3,0,conv_layers=9#activation=tanh#lr=0.01,0.20755676291998698
1707582265.4839087,1,DynamicSurrogate,3,1,conv_layers=9#activation=tanh#lr=0.01,0.1739644189101659
1707582297.608816,1,DynamicSurrogate,3,2,conv_layers=9#activation=tanh#lr=0.01,0.14892163761848132
1707582329.85608,1,DynamicSurrogate,3,3,conv_layers=9#activation=tanh#lr=0.01,0.12169576080811298
1707582361.9037604,1,DynamicSurrogate,3,4,conv_layers=9#activation=tanh#lr=0.01,0.1054345197898303
1707582394.0116413,1,DynamicSurrogate,3,5,conv_layers=9#activation=tanh#lr=0.01,0.08162441925510465
1707582426.1317663,1,DynamicSurrogate,3,6,conv_layers=9#activation=tanh#lr=0.01,0.06971383825947589
1707582458.2369854,1,DynamicSurrogate,3,7,conv_layers=9#activation=tanh#lr=0.01,0.059423056541017094
1707582490.3435075,1,DynamicSurrogate,3,8,conv_layers=9#activation=tanh#lr=0.01,0.0684449565017059
1707582522.4097748,1,DynamicSurrogate,3,9,conv_layers=9#activation=tanh#lr=0.01,0.04386048346977162
1707582554.645179,1,DynamicSurrogate,4,0,conv_layers=9#activation=tanh#lr=0.01,0.23414567000706635
1707582586.850322,1,DynamicSurrogate,4,1,conv_layers=9#activation=tanh#lr=0.01,0.16380164440418515
1707582619.0321045,1,DynamicSurrogate,4,2,conv_layers=9#activation=tanh#lr=0.01,0.11516590263832338
1707582651.0441186,1,DynamicSurrogate,4,3,conv_layers=9#activation=tanh#lr=0.01,0.087944740552417
1707582683.1797204,1,DynamicSurrogate,4,4,conv_layers=9#activation=tanh#lr=0.01,0.07591461608459667
