time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707570069.5231087,1,StaticSurrogate,0,0,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.5753724070572295
1707570097.3024642,1,StaticSurrogate,0,1,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.38175515082231576
1707570125.074244,1,StaticSurrogate,0,2,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.351407228217566
1707570152.8152354,1,StaticSurrogate,0,3,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.31391920616185326
1707570180.4868824,1,StaticSurrogate,0,4,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.30416203937473074
1707570208.208812,1,StaticSurrogate,0,5,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.29169493176417755
1707570235.8333619,1,StaticSurrogate,0,6,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.29949904651946724
1707570263.5177488,1,StaticSurrogate,0,7,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.27875512450173956
1707570291.212451,1,StaticSurrogate,0,8,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.2863835077369472
1707570318.8134263,1,StaticSurrogate,0,9,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.2817356772169036
1707570397.9706678,1,StaticSurrogate,1,0,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.24161377424119831
1707570430.5924466,1,StaticSurrogate,1,1,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.15133015264755495
1707570463.122065,1,StaticSurrogate,1,2,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.11944717907178588
1707570495.7777286,1,StaticSurrogate,1,3,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.10283411007309501
1707570528.41679,1,StaticSurrogate,1,4,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.08838524603693028
1707570561.0035968,1,StaticSurrogate,1,5,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.06632009456359023
1707570593.5809317,1,StaticSurrogate,1,6,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.07215856171907445
1707570626.205375,1,StaticSurrogate,1,7,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.0578279631642313
1707570658.7967696,1,StaticSurrogate,1,8,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.06003571799598587
1707570691.3576539,1,StaticSurrogate,1,9,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.058220656085165856
1707570724.2529268,1,StaticSurrogate,2,0,conv_layers=9#activation=relu#lr=0.01,0.1249163816907736
1707570757.0796995,1,StaticSurrogate,2,1,conv_layers=9#activation=relu#lr=0.01,0.07595023492501901
1707570789.9487216,1,StaticSurrogate,2,2,conv_layers=9#activation=relu#lr=0.01,0.054507984674504226
1707570822.8492396,1,StaticSurrogate,2,3,conv_layers=9#activation=relu#lr=0.01,0.04911133544262794
1707570855.759113,1,StaticSurrogate,2,4,conv_layers=9#activation=relu#lr=0.01,0.04757589801699179
1707570888.648516,1,StaticSurrogate,2,5,conv_layers=9#activation=relu#lr=0.01,0.04297427368653288
1707570921.6114614,1,StaticSurrogate,2,6,conv_layers=9#activation=relu#lr=0.01,0.04971947578884118
1707570954.4878974,1,StaticSurrogate,2,7,conv_layers=9#activation=relu#lr=0.01,0.04834416205800928
1707570987.5049832,1,StaticSurrogate,2,8,conv_layers=9#activation=relu#lr=0.01,0.044975018545242995
1707571020.449845,1,StaticSurrogate,2,9,conv_layers=9#activation=relu#lr=0.01,0.056412518357456
1707571052.831802,1,StaticSurrogate,3,0,conv_layers=8#activation=relu#lr=0.01,0.4151005128032498
1707571082.693289,1,StaticSurrogate,4,0,conv_layers=3#activation=sigmoid#lr=0.01,0.6834961446014466
1707571142.6000204,1,StaticSurrogate,5,0,conv_layers=8#activation=tanh#lr=0.01,0.20757934736749584
1707571174.5551667,1,StaticSurrogate,5,1,conv_layers=8#activation=tanh#lr=0.01,0.19061100863127162
1707571209.2581441,1,StaticSurrogate,6,0,conv_layers=9#activation=sigmoid#lr=0.01,2.3067217247486114
1707571267.5402899,1,StaticSurrogate,7,0,conv_layers=2#activation=relu#lr=0.01,0.16587947489689084
1707571294.5038743,1,StaticSurrogate,7,1,conv_layers=2#activation=relu#lr=0.01,0.08801662104052058
1707571332.041516,1,StaticSurrogate,8,0,conv_layers=2#activation=relu#lr=0.01,0.11950958006640088
1707571358.9628322,1,StaticSurrogate,8,1,conv_layers=2#activation=relu#lr=0.01,0.07427929188608945
1707571391.3196325,1,StaticSurrogate,9,0,conv_layers=8#activation=relu#lr=0.01,2.301147776007652
1707571446.315716,1,StaticSurrogate,10,0,conv_layers=9#activation=relu#lr=0.01,2.3011273346424104
1707571505.1851976,1,StaticSurrogate,11,0,conv_layers=3#activation=relu#lr=0.001406026905289015,0.31283152508611767
1707571533.054335,1,StaticSurrogate,11,1,conv_layers=3#activation=relu#lr=0.001406026905289015,0.2729994668894173
1707571570.9785745,1,StaticSurrogate,12,0,conv_layers=3#activation=relu#lr=0.01,0.11877255801961994
1707571598.8481848,1,StaticSurrogate,12,1,conv_layers=3#activation=relu#lr=0.01,0.08683062358155735
